Rank (of 5692),School,Grades,District,# Students,"Student/
                            Teacher Ratio","Free/Disc Lunch
                            Recipients",Average Standard Score (2017),Rank (2016)
5348,McKinley Elementary,K-5,Bakersfield City,805,21.7,94.3 %,12.2,5438
5349,Loma Vista Environmental Science Academy,K-8,Vallejo City Unified,540,25.7,80.9 %,12.2,4940
5350,Learning Community Charter,K-12,Butte County Office Of Education,279,14.6,79.2 %,12.2,5207
5351,Western Avenue Elementary,K-5,Los Angeles Unified,585,24.3,90.3 %,12.2,5533
5352,Cameron Elementary,K-6,Barstow Unified,654,27.2,88.4 %,12.2,5201
5353,Cesar E. Chavez Elementary,K-6,West Contra Costa Unified,569,24.7,95.1 %,12.2,5337
5354,Helen M. Lehman Elementary,K-6,Santa Rosa Elementary,539,25.6,84.0 %,12.2,4925
5355,Frederick Joyce Elementary,K-8,Twin Rivers Unified,538,26.9,94.4 %,12.2,4821
5356,Eagle Ranch Elementary,K-5,Adelanto Elementary,808,26,83.2 %,12.2,5221
5357,Pacific Elementary,K-6,Sacramento City Unified,693,28.8,77.9 %,12.2,4966
5358,Willow Oaks Elementary,K-8,Ravenswood City Elementary,688,23.7,89.2 %,12.1,5396
5359,Fairlawn Elementary,K-6,Santa Maria-Bonita,742,26.5,93.0 %,12,5330
5360,Elsinore Elementary,K-5,Lake Elsinore Unified,597,22.9,97.0 %,12,5265
5361,Sunnyside Elementary,K-8,Sunnyside Union Elementary,348,20.4,91.7 %,12,5404
5362,Arroyo Elementary,K-6,Pomona Unified,568,23.6,95.3 %,12,5118
5363,Sara Coughlin Elementary,K-5,Los Angeles Unified,679,24.2,91.0 %,12,4994
5364,Casa Ramona Academy For Technology Community And Education,K-12,San Bernardino City Unified,197,17.9,95.4 %,12,4796
5365,Orange Grove Elementary,K-6,Anaheim Elementary,668,27.8,87.6 %,12,5028
5366,Alpaugh Elementary,K-6,Alpaugh Unified,204,18.5,88.2 %,12,5078
5367,Annalee Avenue Elementary,K-6,Los Angeles Unified,229,20.8,81.2 %,11.9,5587
5368,El Mirage,K-8,Adelanto Elementary,139,19.8,89.2 %,11.9,4971
5369,San Cayetano Elementary,K-5,Fillmore Unified,462,23.1,77.1 %,11.9,5283
5370,Glassbrook Elementary,K-6,Hayward Unified,574,26,90.1 %,11.9,5424
5371,Oakley (Calvin C.) Elementary,K-6,Santa Maria-Bonita,973,25.6,93.1 %,11.9,4973
5372,Casey Elementary,K-5,Rialto Unified,843,26.3,94.9 %,11.8,5249
5373,Lincoln Elementary,K-5,Lancaster Elementary,986,28.1,87.8 %,11.8,4220
5374,George Washington Elementary,K-6,Madera Unified,780,26,98.5 %,11.8,5451
5375,Florence Griffith Joyner Elementary,K-5,Los Angeles Unified,612,23.5,97.7 %,11.8,5340
5376,A. M. Winn Waldorf-Inspired,K-8,Sacramento City Unified,365,26,80.6 %,11.8,4388
5377,Steffan Manor Elementary,K-5,Vallejo City Unified,669,27.8,84.6 %,11.8,4924
5378,Lower Lake Elementary,K-7,Konocti Unified,605,25.2,78.8 %,11.8,5436
5379,Rock Creek Elementary,K-5,Auburn Union Elementary,299,23,90.0 %,11.8,4856
5380,Farmdale Elementary,K-5,Los Angeles Unified,557,19.8,91.4 %,11.8,5362
5381,Hagginwood Elementary,K-6,Twin Rivers Unified,458,25.4,95.6 %,11.8,4784
5382,Joshua Circle Elementary,K-6,Hesperia Unified,793,33,79.8 %,11.7,5394
5383,Martin Luther King,K-5,Monterey Peninsula Unified,453,20.5,94.7 %,11.7,5322
5384,Susan B. Anthony Elementary,K-6,Sacramento City Unified,316,28.7,81.3 %,11.7,5320
5385,Buttonwillow Elementary,K-8,Buttonwillow Union Elementary,379,21,94.7 %,11.7,5455
5386,Yucca Elementary,K-6,Palmdale Elementary,782,31.2,97.2 %,11.7,5123
5387,Standard Elementary,K-5,Standard Elementary,566,22.6,94.7 %,11.7,5334
5388,Oro Grande Elementary,K-6,Oro Grande Elementary,97,24.2,87.6 %,11.7,4758
5389,Donald F. Bradach Elementary,K-5,Adelanto Elementary,754,26.9,86.2 %,11.7,5158
5390,Green Valley Charter,K-8,Los Banos Unified,181,25.8,65.8 %,11.6,5497
5391,View Park Preparatory Accelerated Charter,K-5,Los Angeles Unified,549,32.2,81.4 %,11.6,4801
5392,Revere (Paul) Elementary,K-8,San Francisco Unified,462,17.7,77.1 %,11.6,4590
5393,Vina Elementary,1-8,Los Molinos Unified,66,16.5,74.2 %,11.6,
5394,Kelley Elementary,K-5,Rialto Unified,667,27.7,92.8 %,11.6,5024
5395,Leo G. Pauly Elementary,K-5,Bakersfield City,729,21.4,95.2 %,11.6,5490
5396,Nokomis Elementary,K-5,Ukiah Unified,391,23,91.1 %,11.5,5239
5397,Compton Avenue Elementary,K-5,Los Angeles Unified,385,22.6,96.9 %,11.5,5391
5398,Columbus Avenue,K-5,Los Angeles Unified,531,23,86.1 %,11.5,4908
5399,Hall District Elementary,K-5,Pajaro Valley Unified,595,23.8,91.6 %,11.5,5411
5400,Redwood Elementary,K-6,Richland Union Elementary,938,22.3,93.2 %,11.5,5358
5401,Ponderosa Elementary,K-6,Anaheim Elementary,"1,032",27.1,91.7 %,11.5,4985
5402,Whitethorn Elementary,K-6,Southern Humboldt Joint Unified,78,19.5,34.6 %,11.5,
5403,Cherryland Elementary,K-6,Hayward Unified,775,25.8,88.8 %,11.5,4968
5404,Woodridge Elementary,K-4,Twin Rivers Unified,479,26.6,92.5 %,11.4,5016
5405,Calabasas Elementary,K-6,Pajaro Valley Unified,608,25.3,92.6 %,11.4,5341
5406,Del Rey Elementary,K-6,Victor Elementary,639,24.5,98.4 %,11.4,5458
5407,Barton Hill Elementary,K-6,Los Angeles Unified,697,24.8,94.3 %,11.4,5556
5408,El Dorado Avenue Elementary,K-5,Los Angeles Unified,501,22.7,89.0 %,11.4,4633
5409,Central Elementary,K-6,South Bay Union,568,28.4,72.2 %,11.4,5197
5410,Warm Springs Elementary,K-6,San Bernardino City Unified,615,26.7,97.4 %,11.4,5433
5411,Eastside Elementary,K-6,Eastside Union Elementary,576,21.3,89.6 %,11.4,4481
5412,Andres and Maria Cardenas Elementary,K-5,Los Angeles Unified,524,23.8,89.5 %,11.3,5452
5413,Johnston Cooper Elementary,K-5,Vallejo City Unified,570,30,81.4 %,11.3,5276
5414,Sixty-First Street Elementary,K-6,Los Angeles Unified,563,22.5,90.6 %,11.3,5038
5415,Alta Loma Elementary,K-5,Los Angeles Unified,593,22.8,91.2 %,11.3,5213
5416,Sierra Linda Elementary,K-5,Oxnard,767,23.9,87.9 %,11.3,5321
5417,City of Angels,K-12,Los Angeles Unified,"1,588",22,63.1 %,11.3,4357
5418,Marina West Elementary,K-5,Oxnard,666,24.6,87.8 %,11.2,5316
5419,Art Haycox Elementary,K-5,Hueneme Elementary,"1,043",27.4,83.3 %,11.2,5399
5420,Oakley Elementary,K-5,Oakley Union Elementary,435,22.8,72.6 %,11.2,5183
5421,Palm Lane Elementary,K-6,Anaheim Elementary,706,27.1,83.4 %,11.2,5420
5422,Terra Bella Elementary,K-5,Terra Bella Union Elementary,636,21.9,95.6 %,11.2,5546
5423,Tyler Skills Elementary,K-8,Stockton Unified,508,28.2,70.1 %,11.2,5150
5424,James Madison Elementary,K-6,Madera Unified,661,26.4,97.4 %,11.2,5511
5425,Turner Elementary,K-5,Antioch Unified,611,27.7,90.0 %,11.2,5263
5426,Willow Cove Elementary,K-5,Pittsburg Unified,659,21.2,82.6 %,11.2,4562
5427,Creekside Elementary,K-5,Moreno Valley Unified,592,26.9,93.8 %,11.2,5519
5428,Machado Elementary,K-5,Lake Elsinore Unified,656,23.4,93.5 %,11.2,5152
5429,Theodore Roosevelt Elementary,K-5,Santa Ana Unified,694,23.9,96.3 %,11.2,4682
5430,Westfield Village Elementary,K-5,Washington Unified,428,19.4,94.9 %,11.1,5532
5431,Oakdale Elementary,K-8,Twin Rivers Unified,558,23.2,92.7 %,11.1,5176
5432,Rose Avenue Elementary,K-5,Oxnard,745,24.8,95.0 %,11.1,5523
5433,Ducor Union Elementary,K-8,Ducor Union Elementary,158,17.5,91.8 %,11.1,4735
5434,Henry (Patrick) Elementary,K-6,Anaheim Elementary,706,26.1,86.7 %,11,5292
5435,Campo Elementary,K-8,Mountain Empire Unified,415,19.7,73.0 %,11,4477
5436,Maricopa Elementary,K-5,Maricopa Unified,143,20.4,79.7 %,11,5157
5437,Bahia Vista Elementary,K-5,San Rafael City Elementary,571,24.8,95.8 %,11,4893
5438,Columbia Elementary,K-6,Eastside Union Elementary,763,23.8,87.6 %,11,5339
5439,Loren Miller Elementary,K-6,Los Angeles Unified,802,23.5,96.0 %,11,5574
5440,International Community,K-5,Oakland Unified,322,23,88.8 %,11,5312
5441,Howard Elementary,K-5,Oakland Unified,220,22,86.8 %,10.9,5428
5442,Edison (Thomas) Elementary,K-6,Anaheim Elementary,925,27.2,89.7 %,10.9,5064
5443,Ann Soldo Elementary,K-5,Pajaro Valley Unified,668,24.7,87.1 %,10.9,5354
5444,Echo Valley Elementary,K-6,North Monterey County Unified,596,24.8,81.4 %,10.9,5270
5445,Cambridge Elementary,K-5,Mt. Diablo Unified,692,22.3,93.1 %,10.9,5526
5446,Alice Birney Elementary,K-6,Colton Joint Unified,778,27.7,94.0 %,10.9,5431
5447,Hooper Avenue Elementary,1-5,Los Angeles Unified,958,23.3,90.8 %,10.9,5373
5448,Westside Elementary,K-8,Westside Elementary,231,23.1,47.6 %,10.8,5380
5449,Cesar E. Chavez Elementary,K-8,Oxnard,934,25.9,94.5 %,10.8,5386
5450,Big Picture Educational Academy,K-12,Fresno County Office Of Education,119,11.9,72.3 %,10.8,
5451,Ansgar Larsen Elementary,K-5,Hueneme Elementary,802,25.8,77.1 %,10.8,5464
5452,San Joaquin Elementary,K-8,Golden Plains Unified,778,24.3,94.5 %,10.8,5557
5453,Driffill Elementary,K-8,Oxnard,"1,182",24.6,91.0 %,10.8,5397
5454,Hollyvale Elementary,K-6,Hesperia Unified,427,30.5,77.1 %,10.8,5457
5455,Fairbanks Elementary,K-6,Twin Rivers Unified,404,23.7,94.1 %,10.7,5106
5456,Mayberry Street Elementary,K-6,Los Angeles Unified,299,21.3,87.0 %,10.7,4888
5457,El Dorado Elementary,K-8,Stockton Unified,599,29.9,78.5 %,10.7,5146
5458,Tierra Vista Elementary,K-5,Ocean View,743,25.6,80.1 %,10.7,5389
5459,Helm Elementary,K-8,Golden Plains Unified,97,16.1,92.8 %,10.7,4276
5460,Horace Mann Elementary,K-5,Oakland Unified,404,25.2,92.8 %,10.6,5461
5461,Traver Elementary,K-8,Traver Joint Elementary,210,21,92.4 %,10.6,5113
5462,Fremont Elementary,K-5,Montebello Unified,487,24.3,91.6 %,10.6,5220
5463,Santa Rita Elementary,K-5,Santa Rita Union Elementary,713,25.4,86.5 %,10.6,5508
5464,Longfellow Elementary,K-6,Bakersfield City,851,21.2,95.1 %,10.5,5544
5465,Evangeline Roberts Institute of Learning,K-6,San Diego Unified,185,26.4,87.6 %,10.5,5483
5466,Harriette Kirschen Elementary,K-6,Modesto City Elementary,645,25.8,96.7 %,10.4,5245
5467,Lincoln Elementary,K-5,Tulare City,304,23.3,95.7 %,10.4,5463
5468,Colonial Acres Elementary,K-5,San Lorenzo Unified,639,23.6,84.8 %,10.4,5295
5469,Fremont Elementary,K-6,Fresno Unified,573,23.8,96.0 %,10.3,4841
5470,Hunt Elementary,K-5,San Bernardino City Unified,646,24.8,98.3 %,10.3,5332
5471,Don Stowell Elementary,K-6,Merced City Elementary,568,22.7,98.1 %,10.3,5466
5472,Kid Street Learning Center Charter,K-8,Santa Rosa Elementary,94,18.8,87.2 %,10.3,
5473,Fremont Elementary,K-5,Antioch Unified,506,29.7,94.5 %,10.3,5468
5474,Chavez (Cesar) Elementary,K-5,San Francisco Unified,429,17.1,81.1 %,10.3,5296
5475,Sierra Elementary,K-5,Lancaster Elementary,666,25.6,88.6 %,10.3,5513
5476,Hillcrest Drive Elementary,K-5,Los Angeles Unified,710,22.1,87.9 %,10.3,5215
5477,Clyde Woodworth Elementary,K-5,Inglewood Unified,424,23.5,65.3 %,10.2,5285
5478,Julius Corsini Elementary,K-5,Palm Springs Unified,480,24,95.4 %,10.2,5382
5479,Ramona Elementary,K-5,Hemet Unified,767,26.4,93.7 %,10.2,4962
5480,Bancroft Elementary,K-6,La Mesa-Spring Valley,624,26,93.0 %,10.2,4990
5481,Monterey Elementary,K-6,San Bernardino City Unified,556,25.2,98.4 %,10.2,5105
5482,El Dorado Elementary,K-5,San Francisco Unified,236,19.6,71.6 %,10.2,4622
5483,Woodbine Elementary,K-6,Sacramento City Unified,317,24.3,89.0 %,10.2,5061
5484,Grunsky Elementary,K-8,Stockton Unified,555,32.6,89.0 %,10.2,5062
5485,Landmark Elementary,K-5,Pajaro Valley Unified,607,22.4,85.5 %,10.1,5135
5486,Kennedy Gardens Elementary,K-6,Calexico Unified,587,23.4,85.2 %,10.1,5328
5487,Bannon Creek Elementary,K-5,Natomas Unified,508,22,78.0 %,10.1,5138
5488,Dover Elementary,K-6,West Contra Costa Unified,740,24.6,94.7 %,10,4812
5489,Roses in Concrete,K-8,Oakland Unified,186,18.6,54.3 %,10,
5490,Fremont Elementary,K-5,Santa Ana Unified,653,28.3,93.7 %,10,4661
5491,Burbank Elementary,K-5,San Diego Unified,414,21.7,92.8 %,10,5180
5492,Marsh Elementary,K-5,Antioch Unified,558,27.9,94.4 %,9.9,5304
5493,Sanchez Elementary,K-5,San Francisco Unified,260,16.2,76.2 %,9.9,4392
5494,Starr King K-8,K-8,San Juan Unified,526,26.3,84.6 %,9.9,5415
5495,Ethel I. Baker Elementary,K-6,Sacramento City Unified,757,29.1,92.9 %,9.9,5517
5496,Fred T. Korematsu Discovery Academy,K-5,Oakland Unified,413,24.2,91.0 %,9.9,4464
5497,Hillside Elementary,K-5,San Lorenzo Unified,512,23.2,90.2 %,9.9,5367
5498,Randall Pepper Elementary,K-5,Fontana Unified,658,25.3,89.5 %,9.9,5125
5499,Manzanita Elementary,K-6,Palmdale Elementary,756,27,93.9 %,9.9,5388
5500,Cordova Meadows Elementary,K-5,Folsom-Cordova Unified,346,23,91.6 %,9.8,5474
5501,Alta Vista Public,K-12,Adelanto Elementary,"1,563",32.5,87.8 %,9.8,5548
5502,Bayview Elementary,K-6,West Contra Costa Unified,606,24.2,87.8 %,9.8,5305
5503,East Oakland Pride Elementary,K-5,Oakland Unified,420,22.1,95.2 %,9.8,5566
5504,Heaton Elementary,K-6,Fresno Unified,640,26.6,94.1 %,9.8,5543
5505,Marlton,K-12,Los Angeles Unified,236,9,89.4 %,9.8,5100
5506,Piedmont Avenue Elementary,K-5,Oakland Unified,349,21.8,81.1 %,9.8,3959
5507,Castle Rock,K-12,Del Norte County Office Of Education,377,22.1,44.8 %,9.7,4270
5508,Stella I. Hills Elementary,K-5,Bakersfield City,561,21.5,97.9 %,9.7,5563
5509,Bird Street Elementary,K-5,Oroville City Elementary,170,24.2,98.2 %,9.7,5374
5510,Katherine R. Smith Elementary,K-6,Evergreen Elementary,615,24.6,78.7 %,9.7,5282
5511,Columbia Elementary,K-6,Fresno Unified,631,26.2,96.5 %,9.7,5575
5512,Taft Elementary,K-6,Santa Ana Unified,587,19.5,86.4 %,9.7,4199
5513,Lenicia B. Weemes Elementary,K-5,Los Angeles Unified,652,21,89.7 %,9.6,5393
5514,Drew (Charles) College Preparatory Academy,K-5,San Francisco Unified,208,17.3,70.7 %,9.6,5573
5515,Oasis Elementary,K-6,Coachella Valley Unified,689,21.5,97.8 %,9.6,5488
5516,Konocti Education Center,4-12,Konocti Unified,346,24.7,78.3 %,9.6,
5517,Belvedere Elementary,K-5,Los Angeles Unified,785,23,94.1 %,9.6,5081
5518,South Fortuna Elementary,K-4,Fortuna Elementary,333,20.8,87.7 %,9.6,5555
5519,Roosevelt Elementary,K-8,Stockton Unified,462,27.1,76.0 %,9.6,4977
5520,Cottage Elementary,K-5,San Juan Unified,335,25.7,76.1 %,9.5,5128
5521,Lost Hills Elementary,K-5,Lost Hills Union Elementary,384,20.2,97.9 %,9.5,5398
5522,Phoenix Academy,K-8,Apple Valley Unified,"1,083",24,91.8 %,9.5,4802
5523,Cedar Lane Elementary,K-6,Marysville Joint Unified,523,22.7,97.5 %,9.5,5423
5524,Tranquillity Elementary,K-8,Golden Plains Unified,243,22,93.0 %,9.5,5537
5525,Gifted Academy Of Mathematics And Entrepreneurial Studies,K-5,Los Angeles Unified,221,20,98.2 %,9.4,5425
5526,Wyandotte Academy,K-6,Oroville City Elementary,329,21.9,90.9 %,9.4,5289
5527,Green Tree East Elementary,K-6,Victor Elementary,650,24,97.2 %,9.4,5163
5528,El Gabilan Elementary,K-6,Salinas City Elementary,799,26.6,84.5 %,9.3,5540
5529,Tamarisk,K-6,Palmdale Elementary,831,27.7,99.2 %,9.3,
5530,Apple Academy Charter Public,K-5,Los Angeles Unified,329,21.9,85.4 %,9.3,5604
5531,Lafayette Elementary,K-5,Eureka City Schools,362,22.6,82.3 %,9.2,4823
5532,Holly Drive Leadership Academy,K-8,San Diego Unified,142,20.2,89.4 %,9.2,5079
5533,E. Ruth Sheldon Academy of Innovative Learning,K-8,Fairfield-Suisun Unified,649,28.2,86.1 %,9.2,5510
5534,Forty-Ninth Street Elementary,K-5,Los Angeles Unified,832,25.2,94.4 %,9.2,5422
5535,Huron Elementary,K-5,Coalinga-Huron Unified,874,23,90.9 %,9.2,5435
5536,Lake Elementary,K-6,West Contra Costa Unified,421,24.7,94.8 %,9.2,5226
5537,Lincoln (Abraham) Elementary,K-6,Anaheim Elementary,979,26.4,82.2 %,9.2,5258
5538,Weigand Avenue Elementary,K-5,Los Angeles Unified,464,23.2,95.0 %,9.1,5524
5539,Village Elementary,K-6,Victor Elementary,945,26.2,91.6 %,9.1,5492
5540,Ramona Elementary,K-5,Oxnard,634,27.5,97.8 %,9.1,5469
5541,Blythe Street Elementary,K-5,Los Angeles Unified,483,24.1,87.2 %,9.1,5484
5542,Semitropic Elementary,K-8,Semitropic Elementary,214,23.7,88.8 %,9.1,5427
5543,Dr. Lewis Dolphin Stallworth Senior Charter,K-8,Stockton Unified,230,23,98.7 %,9.1,5613
5544,Raisin City Elementary,K-8,Raisin City Elementary,300,21.4,97.3 %,9,5443
5545,Roosevelt Elementary,K-4,Tulare City,620,22.9,96.5 %,9,5392
5546,Amesti Elementary,K-5,Pajaro Valley Unified,618,24.7,93.9 %,9,5501
5547,Sea View Elementary,K-6,Coachella Valley Unified,513,22.3,96.5 %,9,5582
5548,Beardsley Elementary,K-6,Beardsley Elementary,420,22.1,94.1 %,8.9,5317
5549,iLEAD Lancaster Charter,K-8,Lancaster Elementary,613,26.6,39.3 %,8.9,5110
5550,Vineland Elementary,K-4,Vineland Elementary,457,22.8,99.3 %,8.9,5023
5551,First Street Elementary,K-6,Los Angeles Unified,677,23.3,91.1 %,8.8,5381
5552,Pixley Elementary,K-5,Pixley Union Elementary,740,21.7,95.1 %,8.8,5535
5553,Orville Wright Elementary,K-6,Modesto City Elementary,364,22.7,98.9 %,8.8,5432
5554,Global Education Academy 2,K-5,Los Angeles Unified,78,19.5,84.6 %,8.8,
5555,Grape Street Elementary,K-5,Los Angeles Unified,623,23.9,92.1 %,8.7,5453
5556,Independence Charter Academy,K-12,Helendale Elementary,88,22,78.4 %,8.7,
5557,Oak Ridge Elementary,K-6,Sacramento City Unified,577,30.3,95.7 %,8.7,5090
5558,Mains Elementary,K-6,Calexico Unified,530,24,89.3 %,8.7,5539
5559,Monte Vista Elementary,K-5,Santa Ana Unified,648,25.9,97.4 %,8.7,4953
5560,Dool Elementary,K-6,Calexico Unified,589,26.7,85.6 %,8.7,5569
5561,Outside Creek Elementary,K-8,Outside Creek Elementary,102,20.4,84.3 %,8.7,4890
5562,Bruce (Robert) Elementary,K-6,Santa Maria-Bonita,975,25,91.8 %,8.6,5494
5563,Verde Elementary,K-6,West Contra Costa Unified,319,24.5,97.5 %,8.6,5597
5564,Wadsworth Avenue Elementary,K-5,Los Angeles Unified,707,23.5,91.4 %,8.6,5287
5565,Mar Vista Elementary,K-5,Ocean View,535,25.4,89.2 %,8.6,5522
5566,Sierra Primary,K-6,Fort Sage Unified,59,14.7,93.2 %,8.6,
5567,Del Rio Elementary,K-5,Oceanside Unified,457,24,84.3 %,8.6,4975
5568,Bret Harte Elementary,K-6,Modesto City Elementary,"1,015",26,97.4 %,8.6,5505
5569,Sylvan Park Elementary,K-5,Los Angeles Unified,839,23.3,92.1 %,8.5,5271
5570,Global Family,K-5,Oakland Unified,454,23.8,95.8 %,8.5,4815
5571,Richgrove Elementary,K-8,Richgrove Elementary,651,32.5,95.1 %,8.5,5472
5572,Muir Elementary,K-6,Fresno Unified,475,25,97.5 %,8.4,5309
5573,Tuolumne Elementary,K-6,Modesto City Elementary,617,25.7,97.6 %,8.4,5329
5574,Nystrom Elementary,K-6,West Contra Costa Unified,487,24.3,91.4 %,8.4,5589
5575,Lime Street Elementary,K-6,Hesperia Unified,775,28.7,86.5 %,8.4,5223
5576,Roosevelt Elementary,K-6,Salinas City Elementary,653,28.3,94.8 %,8.4,5586
5577,Alexander Hamilton Elementary,K-8,Stockton Unified,826,34.4,77.5 %,8.3,5578
5578,San Pedro Elementary,K-5,San Rafael City Elementary,486,22,95.1 %,8.3,5450
5579,Van Nuys Elementary,K-5,Los Angeles Unified,633,24.3,90.8 %,8.3,5470
5580,Sixth Avenue Elementary,K-5,Los Angeles Unified,654,25.1,87.3 %,8.3,5456
5581,John H. Still,K-8,Sacramento City Unified,906,25.8,86.4 %,8.3,5426
5582,Hazelton Elementary,K-8,Stockton Unified,775,28.7,75.7 %,8.2,5442
5583,Charles White Elementary,1-5,Los Angeles Unified,335,23.9,89.6 %,8.2,5491
5584,Coliseum Street Elementary,K-5,Los Angeles Unified,226,18.8,85.0 %,8.2,5366
5585,Freedom Elementary,4-6,Farmersville Unified,600,37.5,93.7 %,8.2,5512
5586,Vincent Academy,K-5,Oakland Unified,271,24.6,88.9 %,8.1,5336
5587,Bret Harte Elementary,K-6,Sacramento City Unified,308,23.6,81.2 %,8.1,5045
5588,James Marshall Elementary,K-6,Modesto City Elementary,812,24.6,97.5 %,8.1,5481
5589,Mintie White Elementary,K-5,Pajaro Valley Unified,686,24.5,90.7 %,8.1,5460
5590,Bel Air Elementary,K-5,Mt. Diablo Unified,556,29.2,94.4 %,8.1,5551
5591,Johnson Elementary,K-5,Cajon Valley Union,612,24.4,96.4 %,8.1,5241
5592,Mojave Elementary,K-8,Mojave Unified,497,21.6,89.9 %,8,5596
5593,McKinna Elementary,K-5,Oxnard,713,23.7,92.6 %,8,5538
5594,San Diego Cooperative Charter School 2,K-8,San Diego Unified,218,21.8,41.3 %,7.9,4278
5595,Manzanita Community,K-5,Oakland Unified,395,23.2,92.9 %,7.9,5099
5596,Tamarack Elementary,K-5,Reef-Sunset Unified,526,25,89.9 %,7.8,5437
5597,Open Alternative,K-8,Santa Barbara Unified,138,23,50.0 %,7.8,2279
5598,Carver (George Washington) Elementary,K-5,San Francisco Unified,220,18.3,84.6 %,7.8,5467
5599,Grant Elementary,K-6,West Contra Costa Unified,519,22.5,94.8 %,7.8,5485
5600,Mary Buren Elementary,K-5,Guadalupe Union Elementary,858,23.1,87.5 %,7.8,5412
5601,Franklin Elementary,K-6,Modesto City Elementary,890,26.1,98.8 %,7.8,5552
5602,Linda Verde Elementary,K-5,Lancaster Elementary,746,24,93.7 %,7.7,5542
5603,Baker Elementary,K-6,Baker Valley Unified,60,10,98.3 %,7.7,4353
5604,Madison Elementary,K-8,Stockton Unified,707,28.2,62.5 %,7.7,5414
5605,New Highland Academy,K-5,Oakland Unified,358,25.5,93.9 %,7.6,5600
5606,Rockwood Elementary,K-6,Calexico Unified,670,24.8,92.4 %,7.6,5570
5607,Howe Avenue Elementary,K-5,San Juan Unified,703,29.2,95.7 %,7.5,5564
5608,Langdon Avenue Elementary,K-5,Los Angeles Unified,600,23,95.8 %,7.5,5343
5609,Pleasant View Elementary,K-8,Pleasant View Elementary,486,21.1,95.1 %,7.5,5518
5610,T. S. MacQuiddy Elementary,K-5,Pajaro Valley Unified,644,24.7,92.6 %,7.4,5050
5611,Theodore Vick Elementary,K-5,Adelanto Elementary,792,25.5,86.4 %,7.4,5498
5612,Elm Street Elementary,K-5,Oxnard,702,27,94.3 %,7.3,5446
5613,Life Source International Charter,K-8,Lancaster Elementary,453,30.2,85.2 %,7.3,5259
5614,Lincoln Elementary,K-6,San Bernardino City Unified,940,24.1,96.2 %,7.3,5504
5615,Escuela Popular Accelerated Family Learning,K-12,East Side Union High,393,19.6,89.1 %,7.3,5499
5616,Puesta del Sol Elementary,K-6,Victor Elementary,653,25.1,96.5 %,7.2,5303
5617,Joshua Elementary,K-5,Lancaster Elementary,671,25.8,92.9 %,7.2,5553
5618,Lincoln Elementary,K-6,West Contra Costa Unified,436,22.9,96.1 %,7.2,5520
5619,John C. Fremont Elementary,K-8,Stockton Unified,896,34.4,77.2 %,7.1,5558
5620,Steele Lane Elementary,K-6,Santa Rosa Elementary,418,20.9,79.7 %,7.1,5440
5621,Tom Bradley Global Awareness Magnet,K-5,Los Angeles Unified,396,24.7,90.2 %,7.1,5559
5622,Loleta Elementary,K-8,Loleta Union Elementary,114,16.2,88.6 %,7,5545
5623,Acacia Elementary Charter,K-5,New Jerusalem Elementary,421,24.7,86.2 %,7,5359
5624,Kamala Elementary,K-8,Oxnard,"1,215",28.2,92.8 %,7,5534
5625,Harmony Elementary,K-5,Los Angeles Unified,652,22.4,93.1 %,7,5280
5626,Wilson Elementary,K-5,Tulare City,483,23,95.5 %,6.9,5165
5627,YES Academy,K-5,Los Angeles Unified,607,23.3,94.7 %,6.9,5601
5628,Alta Vista Elementary,K-8,Alta Vista Elementary,572,21.1,86.0 %,6.8,5608
